aircAruvnKk,"But what is a Neural Network? | Deep learning, chapter 1",5311041,136730,1271
vT1JzLTH4G4,Lecture Collection | Convolutional Neural Networks for Visual Recognition (Spring 2017),909092,6384,93
p_7GWRup-nQ,Lecture 1 | Introduction to Convolutional Neural Networks for Visual Recognition,759261,20869,502
FmpDIaiMIeA,Convolutional Neural Networks (Course 4 of the Deep Learning Specialization),618557,11597,117
py5byOOHZM8,Teaching convolutional neural networks to give me friends,553124,7755,104
3JQ3hYko51Y,How Convolutional Neural Networks work,361684,12574,156
2-Ol7ZB0MmU,Neural Network that Changes Everything - Computerphile,318609,8393,120
FTr3n7uBIuE,Neural Network 3D Simulation,294913,6762,243
d14TUNcbn1k,A friendly introduction to Convolutional Neural Networks and Image Recognition,292471,1795,111
bNb2fEVKeEo,Convolutional Neural Networks - The Math of Intelligence (Week 4),283126,1954,61
YRhxdVk_sIs,Lecture 4 | Introduction to Neural Networks,260068,6889,111
ghEmQSxT6tw,Lecture 5 | Convolutional Neural Networks,244473,1893,58
wEoyxE0GP2M,Convolutional Neural Networks (CNNs) explained,236905,1251,50
cAICT4Al5Ow,Andrej Karpathy,198311,3086,178
JiN9p5vWHDY,Visualizing and Understanding Deep Neural Networks by Matt Zeiler,188473,1433,89
HMcx-zY8JSg,Lecture 6 | Training Neural Networks I,165650,1866,27
rTawFwUvnLE,How to Make an Image Classifier - Intro to Deep Learning #6,163014,1836,32
